"","scenario_run","run","population","total"
"1","run1",1,"(C) prisoners",474.996753986203
"2","run1",2,"(C) prisoners",564.271473164678
"3","run1",3,"(C) prisoners",694.193658765416
"4","run1",4,"(C) prisoners",669.228330630159
"5","run1",5,"(C) prisoners",685.151328089605
"6","run1",6,"(C) prisoners",671.967326132249
"7","run1",7,"(C) prisoners",537.849655462767
"8","run1",8,"(C) prisoners",625.524065599328
"9","run1",9,"(C) prisoners",606.291432599013
"10","run1",10,"(C) prisoners",577.47068146435
"11","run1",11,"(C) prisoners",928.449738941196
"12","run1",12,"(C) prisoners",775.592056954206
"13","run1",13,"(C) prisoners",728.135295257883
"14","run1",14,"(C) prisoners",678.447521360156
"15","run1",15,"(C) prisoners",877.606384503851
"16","run1",16,"(C) prisoners",424.82956325593
"17","run1",17,"(C) prisoners",663.676612495596
"18","run1",18,"(C) prisoners",467.638273933764
"19","run1",19,"(C) prisoners",624.529616404475
"20","run1",20,"(C) prisoners",623.609798575066
"21","run1",21,"(C) prisoners",635.174716339742
"22","run1",22,"(C) prisoners",681.159823151179
"23","run1",23,"(C) prisoners",793.543112668203
"24","run1",24,"(C) prisoners",664.295560332277
"25","run1",25,"(C) prisoners",539.173721040263
"26","run1",26,"(C) prisoners",515.878892681012
"27","run1",27,"(C) prisoners",520.810627296985
"28","run1",28,"(C) prisoners",627.195485877485
"29","run1",29,"(C) prisoners",663.667643121538
"30","run1",30,"(C) prisoners",616.084570631758
"31","run1",31,"(C) prisoners",511.223135342764
"32","run1",32,"(C) prisoners",765.322561070019
"33","run1",33,"(C) prisoners",470.337990774289
"34","run1",34,"(C) prisoners",923.99051746402
"35","run1",35,"(C) prisoners",378.523588238308
"36","run1",36,"(C) prisoners",774.413451802434
"37","run1",37,"(C) prisoners",768.508896347409
"38","run1",38,"(C) prisoners",501.287153558185
"39","run1",39,"(C) prisoners",505.742460470517
"40","run1",40,"(C) prisoners",768.730110000028
"41","run1",41,"(C) prisoners",575.202555807845
"42","run1",42,"(C) prisoners",615.196519882529
"43","run1",43,"(C) prisoners",675.899156295877
"44","run1",44,"(C) prisoners",764.542530314503
"45","run1",45,"(C) prisoners",665.556120189668
"46","run1",46,"(C) prisoners",820.922601200132
"47","run1",47,"(C) prisoners",532.075901232296
"48","run1",48,"(C) prisoners",873.414511721325
"49","run1",49,"(C) prisoners",494.240276557331
"50","run1",50,"(C) prisoners",517.913088266607
"51","run1",51,"(C) prisoners",769.977931140247
"52","run1",52,"(C) prisoners",778.738772014556
"53","run1",53,"(C) prisoners",658.228256987349
"54","run1",54,"(C) prisoners",515.777148103802
"55","run1",55,"(C) prisoners",544.010657162407
"56","run1",56,"(C) prisoners",814.731373281952
"57","run1",57,"(C) prisoners",834.723689624556
"58","run1",58,"(C) prisoners",491.856333951485
"59","run1",59,"(C) prisoners",459.983110729888
"60","run1",60,"(C) prisoners",687.612119010526
