"","scenario_run","run","total","wane"
"1","run1",1,3407.85602767163,"No waning"
"2","run2",1,3395.4082729245,"No waning"
"3","run3",1,3381.31330821899,"No waning"
"4","run4",1,3380.60323336137,"No waning"
"5","run5",1,1404.08071981659,"No waning"
"6","run6",1,2640.82363294074,"No waning"
"7","run7",1,1337.83803644562,"No waning"
"8","run1",2,2229.72779030865,"No waning"
"9","run2",2,2217.09271390727,"No waning"
"10","run3",2,2205.1116812667,"No waning"
"11","run4",2,2200.33702919667,"No waning"
"12","run5",2,583.163740848353,"No waning"
"13","run6",2,1486.05740281742,"No waning"
"14","run7",2,484.448876284219,"No waning"
"15","run1",3,2552.22832342157,"No waning"
"16","run2",3,2542.84441212882,"No waning"
"17","run3",3,2544.42045027695,"No waning"
"18","run4",3,2542.04533624568,"No waning"
"19","run5",3,1311.82004346404,"No waning"
"20","run6",3,1955.1686097313,"No waning"
"21","run7",3,1298.23966411765,"No waning"
"22","run1",4,2123.66436680919,"No waning"
"23","run2",4,2111.07895750321,"No waning"
"24","run3",4,2107.00501705533,"No waning"
"25","run4",4,2104.72097825037,"No waning"
"26","run5",4,523.872829726955,"No waning"
"27","run6",4,1255.89614325596,"No waning"
"28","run7",4,363.641535922631,"No waning"
"29","run1",5,2346.06097498284,"No waning"
"30","run2",5,2329.50415738614,"No waning"
"31","run3",5,2310.71499966458,"No waning"
"32","run4",5,2313.03741171391,"No waning"
"33","run5",5,765.662449329458,"No waning"
"34","run6",5,1826.55528002361,"No waning"
"35","run7",5,607.460405768511,"No waning"
"36","run1",6,1410.33844693147,"No waning"
"37","run2",6,1390.88448030118,"No waning"
"38","run3",6,1367.29273716092,"No waning"
"39","run4",6,1366.75187724368,"No waning"
"40","run5",6,487.735259433961,"No waning"
"41","run6",6,1027.94571221067,"No waning"
"42","run7",6,254.687919254717,"No waning"
"43","run1",7,2543.67127962328,"No waning"
"44","run2",7,2526.76146170166,"No waning"
"45","run3",7,2478.00874404478,"No waning"
"46","run4",7,2473.77080985437,"No waning"
"47","run5",7,1037.25070942837,"No waning"
"48","run6",7,1786.4087442195,"No waning"
"49","run7",7,918.603274562806,"No waning"
"50","run1",8,2245.31909270992,"No waning"
"51","run2",8,2230.60019865653,"No waning"
"52","run3",8,2189.24306076178,"No waning"
"53","run4",8,2193.28822506092,"No waning"
"54","run5",8,552.3125584838,"No waning"
"55","run6",8,1195.15502703173,"No waning"
"56","run7",8,312.364087336871,"No waning"
"57","run1",9,2289.91680723921,"No waning"
"58","run2",9,2278.32903586977,"No waning"
"59","run3",9,2282.67395733585,"No waning"
"60","run4",9,2278.76954366388,"No waning"
"61","run5",9,484.861915604956,"No waning"
"62","run6",9,1396.29517836912,"No waning"
"63","run7",9,353.863166879606,"No waning"
"64","run1",10,3040.12746712489,"No waning"
"65","run2",10,3029.15172498922,"No waning"
"66","run3",10,3014.86745629993,"No waning"
"67","run4",10,3013.9652743542,"No waning"
"68","run5",10,992.49029545927,"No waning"
"69","run6",10,2192.24633148252,"No waning"
"70","run7",10,922.205175978975,"No waning"
"71","run1",11,2008.95861678901,"No waning"
"72","run2",11,1998.0331897753,"No waning"
"73","run3",11,1988.20392758655,"No waning"
"74","run4",11,1986.05124499194,"No waning"
"75","run5",11,790.723707774529,"No waning"
"76","run6",11,1619.30259138926,"No waning"
"77","run7",11,727.57600080056,"No waning"
"78","run1",12,2336.28213827023,"No waning"
"79","run2",12,2312.54965423627,"No waning"
"80","run3",12,2273.75344489403,"No waning"
"81","run4",12,2278.96544140206,"No waning"
"82","run5",12,439.797185074567,"No waning"
"83","run6",12,1479.00911242764,"No waning"
"84","run7",12,138.770835890678,"No waning"
"85","run1",13,2731.41932522139,"No waning"
"86","run2",13,2723.01509366869,"No waning"
"87","run3",13,2714.91054046945,"No waning"
"88","run4",13,2714.13537401341,"No waning"
"89","run5",13,1374.97775033817,"No waning"
"90","run6",13,1756.57892639805,"No waning"
"91","run7",13,1342.93060037875,"No waning"
"92","run1",14,1615.55949385663,"No waning"
"93","run2",14,1597.8413673498,"No waning"
"94","run3",14,1527.11737762121,"No waning"
"95","run4",14,1529.85324307567,"No waning"
"96","run5",14,472.817763546139,"No waning"
"97","run6",14,725.587709414631,"No waning"
"98","run7",14,224.563307659207,"No waning"
"99","run1",15,2232.05704892558,"No waning"
"100","run2",15,2219.91510181122,"No waning"
"101","run3",15,2221.11220464635,"No waning"
"102","run4",15,2220.88383982884,"No waning"
"103","run5",15,561.561593309561,"No waning"
"104","run6",15,1480.43826510264,"No waning"
"105","run7",15,420.77454137355,"No waning"
"106","run1",16,1671.53335679883,"No waning"
"107","run2",16,1664.77961331771,"No waning"
"108","run3",16,1650.41535771905,"No waning"
"109","run4",16,1648.8059500371,"No waning"
"110","run5",16,1064.42156041769,"No waning"
"111","run6",16,1255.7181346032,"No waning"
"112","run7",16,1013.24303042491,"No waning"
"113","run1",17,2089.21151492099,"No waning"
"114","run2",17,2077.36524225388,"No waning"
"115","run3",17,2065.09454395257,"No waning"
"116","run4",17,2062.77117012671,"No waning"
"117","run5",17,946.995925092519,"No waning"
"118","run6",17,1555.74687727805,"No waning"
"119","run7",17,890.014999072731,"No waning"
"120","run1",18,2254.50739659316,"No waning"
"121","run2",18,2244.5390733689,"No waning"
"122","run3",18,2232.13818347084,"No waning"
"123","run4",18,2228.81714732081,"No waning"
"124","run5",18,676.692375053272,"No waning"
"125","run6",18,1671.78737004491,"No waning"
