"","scenario_run","run","population","total"
"1","run1",1,"(C) prisoners",168.721265806819
"2","run1",2,"(C) prisoners",117.764615453623
"3","run1",3,"(C) prisoners",124.285191179089
"4","run1",4,"(C) prisoners",145.517302539147
"5","run1",5,"(C) prisoners",161.332040671908
"6","run1",6,"(C) prisoners",99.7393366703362
"7","run1",7,"(C) prisoners",128.65663128026
"8","run1",8,"(C) prisoners",132.250829029845
"9","run1",9,"(C) prisoners",168.878969887133
"10","run1",10,"(C) prisoners",164.48513730666
"11","run1",11,"(C) prisoners",135.344028194716
"12","run1",12,"(C) prisoners",142.784766885536
"13","run1",13,"(C) prisoners",118.758171078874
"14","run1",14,"(C) prisoners",157.128851469662
"15","run1",15,"(C) prisoners",198.745591828184
"16","run1",16,"(C) prisoners",155.787044611154
"17","run1",17,"(C) prisoners",88.6221535222142
"18","run1",18,"(C) prisoners",191.74232612491
"19","run1",19,"(C) prisoners",107.458922417873
"20","run1",20,"(C) prisoners",108.993424976052
"21","run1",21,"(C) prisoners",159.369771207166
"22","run1",22,"(C) prisoners",109.516284473943
"23","run1",23,"(C) prisoners",163.094163966341
"24","run1",24,"(C) prisoners",120.022190252434
"25","run1",25,"(C) prisoners",152.686149760218
"26","run1",26,"(C) prisoners",140.823433008437
"27","run1",27,"(C) prisoners",211.394424301677
"28","run1",28,"(C) prisoners",108.547923168156
"29","run1",29,"(C) prisoners",127.887051077389
"30","run1",30,"(C) prisoners",173.565646012955
"31","run1",31,"(C) prisoners",135.548512270509
"32","run1",32,"(C) prisoners",137.129962109264
"33","run1",33,"(C) prisoners",191.121459118384
"34","run1",34,"(C) prisoners",143.169677606648
"35","run1",35,"(C) prisoners",134.074706851087
"36","run1",36,"(C) prisoners",150.776850912554
"37","run1",37,"(C) prisoners",155.298315080402
"38","run1",38,"(C) prisoners",149.047505932713
"39","run1",39,"(C) prisoners",189.466848228817
"40","run1",40,"(C) prisoners",99.8717914827385
"41","run1",41,"(C) prisoners",176.05392602303
"42","run1",42,"(C) prisoners",101.323413845452
"43","run1",43,"(C) prisoners",119.94629891244
"44","run1",44,"(C) prisoners",159.823003561576
"45","run1",45,"(C) prisoners",125.350591278807
"46","run1",46,"(C) prisoners",116.598269905031
"47","run1",47,"(C) prisoners",103.697218458351
"48","run1",48,"(C) prisoners",149.145356602992
"49","run1",49,"(C) prisoners",166.26979620665
"50","run1",50,"(C) prisoners",125.85480226928
"51","run1",51,"(C) prisoners",129.671159717783
"52","run1",52,"(C) prisoners",111.710799085873
"53","run1",53,"(C) prisoners",139.627428354295
"54","run1",54,"(C) prisoners",144.452063922551
"55","run1",55,"(C) prisoners",202.220384081277
"56","run1",56,"(C) prisoners",107.278038628199
"57","run1",57,"(C) prisoners",139.581895481858
"58","run1",58,"(C) prisoners",135.880807987547
"59","run1",59,"(C) prisoners",121.587485824269
"60","run1",60,"(C) prisoners",118.973007920393
"61","run1",61,"(C) prisoners",214.932239548057
"62","run1",62,"(C) prisoners",123.023582695622
"63","run1",63,"(C) prisoners",145.607729886337
"64","run1",64,"(C) prisoners",125.527273260369
"65","run1",65,"(C) prisoners",169.864993199131
"66","run1",66,"(C) prisoners",151.496517432364
"67","run1",67,"(C) prisoners",172.377729629442
"68","run1",68,"(C) prisoners",122.712212278586
"69","run1",69,"(C) prisoners",128.21875741309
"70","run1",70,"(C) prisoners",119.68625363634
"71","run1",71,"(C) prisoners",151.496740875791
"72","run1",72,"(C) prisoners",127.706740036605
"73","run1",73,"(C) prisoners",110.376012426207
"74","run1",74,"(C) prisoners",155.860003984685
"75","run1",75,"(C) prisoners",151.654537969181
"76","run1",76,"(C) prisoners",160.910316475111
"77","run1",77,"(C) prisoners",127.385698440981
"78","run1",78,"(C) prisoners",140.32719994593
"79","run1",79,"(C) prisoners",157.348630971551
"80","run1",80,"(C) prisoners",134.568836586206
"81","run1",81,"(C) prisoners",102.651808605818
"82","run1",82,"(C) prisoners",97.6696987765544
"83","run1",83,"(C) prisoners",98.1109811415554
"84","run1",84,"(C) prisoners",133.073809892377
"85","run1",85,"(C) prisoners",113.413389841257
"86","run1",86,"(C) prisoners",143.917165175485
"87","run1",87,"(C) prisoners",106.247084354047
"88","run1",88,"(C) prisoners",154.734096604803
"89","run1",89,"(C) prisoners",146.260601394494
"90","run1",90,"(C) prisoners",145.764906354481
"91","run1",91,"(C) prisoners",116.764907356564
"92","run1",92,"(C) prisoners",126.018760740172
"93","run1",93,"(C) prisoners",120.073475661313
"94","run1",94,"(C) prisoners",126.909780278287
