"","scenario_run","run","total"
"1","run1",1,174.63570586462
"2","run1",2,253.536831470296
"3","run1",3,181.080531669467
"4","run1",4,211.082178500732
"5","run1",5,176.458797207173
"6","run1",6,237.237269504231
"7","run1",7,213.487900275283
"8","run1",8,222.557517218786
"9","run1",9,190.140486761815
"10","run1",10,191.046464889059
"11","run1",11,286.734716075531
"12","run1",12,230.784188554483
"13","run1",13,176.007284158584
"14","run1",14,215.678771555346
"15","run1",15,222.705319270607
"16","run1",16,243.522511699315
"17","run1",17,191.612474645893
"18","run1",18,202.305610456234
"19","run1",19,200.961028719947
"20","run1",20,203.760255601444
"21","run1",21,174.03400452946
"22","run1",22,202.34856653646
"23","run1",23,192.09351744196
"24","run1",24,206.747810324828
"25","run1",25,199.007926450701
"26","run1",26,146.317250120456
"27","run1",27,212.350285950437
"28","run1",28,168.359908351223
"29","run1",29,184.863501194276
"30","run1",30,283.395617055529
"31","run1",31,228.458221848143
"32","run1",32,153.992626184136
"33","run1",33,156.115749918441
"34","run1",34,190.337632081533
"35","run1",35,148.130925408226
"36","run1",36,219.270709805621
"37","run1",37,222.249387870012
"38","run1",38,234.459579457359
"39","run1",39,203.314975440394
"40","run1",40,188.834223290878
"41","run1",41,247.483103421141
"42","run1",42,176.124212253824
"43","run1",43,251.450050961114
"44","run1",44,160.536499510089
"45","run1",45,197.064145258364
"46","run1",46,281.114632306848
"47","run1",47,282.036390250417
"48","run1",48,205.069275110528
"49","run1",49,214.044060344797
"50","run1",50,195.600072729115
"51","run1",51,160.562491779807
"52","run1",52,210.473251375192
"53","run1",53,184.400224436909
"54","run1",54,180.328952114196
"55","run1",55,154.459051056944
"56","run1",56,163.333616147317
"57","run1",57,177.297148558161
"58","run1",58,197.870500385029
"59","run1",59,220.193405751859
"60","run1",60,185.298395170825
"61","run1",61,230.55279777826
"62","run1",62,171.800094089393
"63","run1",63,214.914892651938
"64","run1",64,248.328933200218
"65","run1",65,214.621244882917
"66","run1",66,166.273003822013
"67","run1",67,180.051959605794
"68","run1",68,148.938371926569
"69","run1",69,221.096222069064
"70","run1",70,175.733693477979
"71","run1",71,184.722528801866
"72","run1",72,196.57888244953
"73","run1",73,204.095828868501
"74","run1",74,174.788615145579
"75","run1",75,186.129556545073
"76","run1",76,227.470855014558
"77","run1",77,236.837225805985
"78","run1",78,197.227032575227
"79","run1",79,167.381894116799
"80","run1",80,214.014230707568
"81","run1",81,237.02917086161
"82","run1",82,161.941479608807
"83","run1",83,219.230916008783
"84","run1",84,235.300116633244
"85","run1",85,195.309233007032
"86","run1",86,196.794748090634
"87","run1",87,169.870480278594
"88","run1",88,187.870636834337
"89","run1",89,154.92415701666
"90","run1",90,222.69255118384
"91","run1",91,207.95393090879
"92","run1",92,197.502938969207
"93","run1",93,232.625636801631
"94","run1",94,225.375043734831
"95","run1",95,193.639300723091
"96","run1",96,174.730515001656
"97","run1",97,208.429611071606
"98","run1",98,187.915585653473
"99","run1",99,198.658896111065
"100","run1",100,210.993966764851
"101","run2",1,173.724920155335
"102","run2",2,252.80038227714
"103","run2",3,179.794307242551
"104","run2",4,210.496647813231
"105","run2",5,175.104047436858
"106","run2",6,235.717714402069
"107","run2",7,211.784445095084
"108","run2",8,220.745642151977
"109","run2",9,189.442548193748
"110","run2",10,190.250888530507
"111","run2",11,285.759209835463
"112","run2",12,229.921160467144
"113","run2",13,174.717576088202
"114","run2",14,213.471600368902
"115","run2",15,221.658910775169
"116","run2",16,242.848440283849
"117","run2",17,189.103947456279
"118","run2",18,201.905692398327
"119","run2",19,199.664526661726
"120","run2",20,202.372290992814
"121","run2",21,173.220472381046
"122","run2",22,201.23269980736
"123","run2",23,190.862332244314
"124","run2",24,205.785531211122
"125","run2",25,197.713293416212
"126","run2",26,144.151974804717
"127","run2",27,209.440519879708
"128","run2",28,167.836320690189
"129","run2",29,184.049767102167
"130","run2",30,281.722438915259
"131","run2",31,227.460880454318
"132","run2",32,152.76756165205
"133","run2",33,154.413677684045
"134","run2",34,189.662981503722
"135","run2",35,147.164115171416
"136","run2",36,217.857437883608
"137","run2",37,221.608097197074
"138","run2",38,232.119759210357
"139","run2",39,200.582220815859
"140","run2",40,188.387766553752
"141","run2",41,245.707830647225
"142","run2",42,174.689549080879
"143","run2",43,249.421350930683
"144","run2",44,158.036143574735
"145","run2",45,193.862737423549
"146","run2",46,279.70352171842
"147","run2",47,280.664778814618
"148","run2",48,203.468444284741
"149","run2",49,212.707538313932
"150","run2",50,195.513733625133
"151","run2",51,158.564083312207
"152","run2",52,209.899427148978
"153","run2",53,183.556011807613
"154","run2",54,178.881010642884
"155","run2",55,153.387893460173
"156","run2",56,162.001552762948
"157","run2",57,176.646487256853
"158","run2",58,196.193318176393
"159","run2",59,219.697666948217
"160","run2",60,183.6637968066
"161","run2",61,229.047301576686
"162","run2",62,169.60641043284
"163","run2",63,214.088971933164
"164","run2",64,246.968652139799
"165","run2",65,213.512384380082
"166","run2",66,165.170191890774
"167","run2",67,178.48318881123
"168","run2",68,147.810074336596
"169","run2",69,219.540867635555
"170","run2",70,174.881808279698
"171","run2",71,181.127463452983
"172","run2",72,194.73288913894
"173","run2",73,203.35611736058
"174","run2",74,173.263048911204
"175","run2",75,183.946532289096
"176","run2",76,226.915334861195
"177","run2",77,235.895048964873
"178","run2",78,194.915948737555
"179","run2",79,164.791384061276
"180","run2",80,212.980210465865
"181","run2",81,235.367874464152
"182","run2",82,160.30385333883
"183","run2",83,218.17720381763
"184","run2",84,234.550532020853
"185","run2",85,192.874032230627
"186","run2",86,195.779883750833
"187","run2",87,168.694879584139
"188","run2",88,185.284072531386
"189","run2",89,152.242127924871
"190","run2",90,221.700283274546
"191","run2",91,204.703807290267
"192","run2",92,195.410084386025
"193","run2",93,230.912153109459
"194","run2",94,222.158511488617
"195","run2",95,192.074729967421
"196","run2",96,172.663358856475
"197","run2",97,206.767191918357
"198","run2",98,185.290518400209
"199","run2",99,193.863229878336
"200","run2",100,210.125392499299
"201","run3",1,169.674741985225
"202","run3",2,251.080530432574
"203","run3",3,174.552027458124
"204","run3",4,208.89820349139
"205","run3",5,171.560313861279
"206","run3",6,230.352870410306
"207","run3",7,207.167404156672
"208","run3",8,216.29999975467
"209","run3",9,187.457612310956
"210","run3",10,188.843425170922
"211","run3",11,283.070006920285
"212","run3",12,226.758697036645
"213","run3",13,170.939031480195
"214","run3",14,204.167032617201
"215","run3",15,218.7491344762
"216","run3",16,239.405685637766
"217","run3",17,179.115864314142
"218","run3",18,200.881059589913
"219","run3",19,196.183622175418
"220","run3",20,197.484415521476
"221","run3",21,168.920603226185
"222","run3",22,197.791283778248
"223","run3",23,182.860276154623
"224","run3",24,201.424193490237
"225","run3",25,192.39186642143
"226","run3",26,134.470356865936
"227","run3",27,202.896401731708
"228","run3",28,165.542925356397
"229","run3",29,180.449716640958
"230","run3",30,276.788709201646
"231","run3",31,224.010479671263
"232","run3",32,148.629353077161
"233","run3",33,147.724755874383
"234","run3",34,187.257458981351
"235","run3",35,141.559058050219
"236","run3",36,212.547960577484
"237","run3",37,219.445234470402
"238","run3",38,223.292130040188
"239","run3",39,190.949177244567
"240","run3",40,186.901061743828
"241","run3",41,239.802115933075
"242","run3",42,171.152593469155
"243","run3",43,243.382220109612
"244","run3",44,148.980456655373
"245","run3",45,180.224293163402
"246","run3",46,275.960228959277
"247","run3",47,276.100968716414
"248","run3",48,198.11830326892
"249","run3",49,207.920368247238
"250","run3",50,193.247694918921
"251","run3",51,148.776295786445
"252","run3",52,208.682724407409
"253","run3",53,179.229858857332
"254","run3",54,173.740255336741
"255","run3",55,149.95889519493
"256","run3",56,156.661829746417
"257","run3",57,174.218899577859
"258","run3",58,191.261601498028
"259","run3",59,218.67629899322
"260","run3",60,177.523806031118
"261","run3",61,223.610262405056
"262","run3",62,161.700807701595
"263","run3",63,211.204713008288
"264","run3",64,241.887539674572
"265","run3",65,207.543718116648
"266","run3",66,161.203064632197
"267","run3",67,172.960638131348
"268","run3",68,142.035921979968
"269","run3",69,214.843819169658
"270","run3",70,169.919879877041
"271","run3",71,170.914545421829
"272","run3",72,188.499713197651
"273","run3",73,200.794208744462
"274","run3",74,168.457468488977
"275","run3",75,176.093688789446
"276","run3",76,225.438853910474
"277","run3",77,231.899166172984
"278","run3",78,183.177338048547
"279","run3",79,149.585092230055
"280","run3",80,207.786446917549
"281","run3",81,230.772296029202
"282","run3",82,152.842723213775
"283","run3",83,212.934728876821
"284","run3",84,231.975148710495
"285","run3",85,181.863839994973
"286","run3",86,193.347912624708
"287","run3",87,161.552955928547
"288","run3",88,176.977629768541
"289","run3",89,142.348409274477
"290","run3",90,216.627215260547
"291","run3",91,195.573324418499
"292","run3",92,188.260662013651
"293","run3",93,224.486547752465
"294","run3",94,206.769172030822
"295","run3",95,187.90210215824
"296","run3",96,163.713024255144
"297","run3",97,202.533909917912
"298","run3",98,174.554906819986
"299","run3",99,175.897958313773
"300","run3",100,205.853533819618
"301","run4",1,168.462451413828
"302","run4",2,250.682558362498
"303","run4",3,173.921619149025
"304","run4",4,208.710517033257
"305","run4",5,170.497203481801
"306","run4",6,229.461051622103
"307","run4",7,206.128403015847
"308","run4",8,215.070914256905
"309","run4",9,187.078365422736
"310","run4",10,188.166876648479
"311","run4",11,282.57044749817
"312","run4",12,225.510440657845
"313","run4",13,169.847665836384
"314","run4",14,202.320927556615
"315","run4",15,217.771201856445
"316","run4",16,238.674307623005
"317","run4",17,176.544780350668
"318","run4",18,200.525492734199
"319","run4",19,194.64307020017
"320","run4",20,196.259955709757
"321","run4",21,168.496767971656
"322","run4",22,196.831789611266
"323","run4",23,181.483839811011
"324","run4",24,200.732590944581
"325","run4",25,191.322728749128
"326","run4",26,132.054919925322
"327","run4",27,200.205645411848
