"","scenario_run","run","total","wane"
"1","run1",1,6722.44569738294,"Waning"
"2","run2",1,6716.06679895447,"Waning"
"3","run3",1,6693.97305756349,"Waning"
"4","run4",1,6696.84585960336,"Waning"
"5","run5",1,5237.97142890905,"Waning"
"6","run6",1,5890.08551844573,"Waning"
"7","run7",1,5194.26765155448,"Waning"
"8","run1",2,5482.72163041261,"Waning"
"9","run2",2,5479.09088173849,"Waning"
"10","run3",2,5465.29959595629,"Waning"
"11","run4",2,5465.46506584266,"Waning"
"12","run5",2,4249.02618855406,"Waning"
"13","run6",2,4654.54033777679,"Waning"
"14","run7",2,4220.84001225636,"Waning"
"15","run1",3,5948.31021101046,"Waning"
"16","run2",3,5945.52070063596,"Waning"
"17","run3",3,5935.88739343141,"Waning"
"18","run4",3,5936.70174370551,"Waning"
"19","run5",3,5079.55449904785,"Waning"
"20","run6",3,5292.84217771178,"Waning"
"21","run7",3,5059.45543559626,"Waning"
"22","run1",4,5215.58946847938,"Waning"
"23","run2",4,5211.54685914315,"Waning"
"24","run3",4,5196.48484324991,"Waning"
"25","run4",4,5196.95475097315,"Waning"
"26","run5",4,3943.50571826869,"Waning"
"27","run6",4,4290.55709751183,"Waning"
"28","run7",4,3912.25858442167,"Waning"
"29","run1",5,5616.21127668049,"Waning"
"30","run2",5,5608.70520840434,"Waning"
"31","run3",5,5583.53408734062,"Waning"
"32","run4",5,5586.82501431762,"Waning"
"33","run5",5,4516.8110995897,"Waning"
"34","run6",5,4985.62343303031,"Waning"
"35","run7",5,4467.71424129705,"Waning"
"36","run1",6,4566.77910274187,"Waning"
"37","run2",6,4560.75319503349,"Waning"
"38","run3",6,4539.69958091376,"Waning"
"39","run4",6,4541.74009986883,"Waning"
"40","run5",6,3898.36828446834,"Waning"
"41","run6",6,4021.55810216933,"Waning"
"42","run7",6,3859.11857186758,"Waning"
"43","run1",7,5902.3744627907,"Waning"
"44","run2",7,5895.84143233926,"Waning"
"45","run3",7,5871.41648574864,"Waning"
"46","run4",7,5873.40548740304,"Waning"
"47","run5",7,4643.51016733349,"Waning"
"48","run6",7,4971.55102418492,"Waning"
"49","run7",7,4597.16388502086,"Waning"
"50","run1",8,5193.28779395453,"Waning"
"51","run2",8,5184.32232908827,"Waning"
"52","run3",8,5149.74964066507,"Waning"
"53","run4",8,5153.54998974432,"Waning"
"54","run5",8,3666.42736620725,"Waning"
"55","run6",8,4081.95871022264,"Waning"
"56","run7",8,3600.75438826997,"Waning"
"57","run1",9,5481.99122520285,"Waning"
"58","run2",9,5478.87365244477,"Waning"
"59","run3",9,5466.38907419135,"Waning"
"60","run4",9,5466.88323844482,"Waning"
"61","run5",9,4104.90263274461,"Waning"
"62","run6",9,4596.52819126563,"Waning"
"63","run7",9,4079.60314703057,"Waning"
"64","run1",10,6256.42514103959,"Waning"
"65","run2",10,6250.58436342699,"Waning"
"66","run3",10,6229.74091339371,"Waning"
"67","run4",10,6231.94463900964,"Waning"
"68","run5",10,4726.00807808188,"Waning"
"69","run6",10,5365.21386283958,"Waning"
"70","run7",10,4684.94188074509,"Waning"
"71","run1",11,5436.15673583953,"Waning"
"72","run2",11,5432.54256643683,"Waning"
"73","run3",11,5419.45584501131,"Waning"
"74","run4",11,5420.42353789451,"Waning"
"75","run5",11,4650.03341581226,"Waning"
"76","run6",11,4937.90003184451,"Waning"
"77","run7",11,4625.19935929895,"Waning"
"78","run1",12,5390.34770218781,"Waning"
"79","run2",12,5379.94906253159,"Waning"
"80","run3",12,5341.56644213355,"Waning"
"81","run4",12,5346.16909818929,"Waning"
"82","run5",12,3672.81202626038,"Waning"
"83","run6",12,4451.03408711406,"Waning"
"84","run7",12,3599.53997606113,"Waning"
"85","run1",13,5960.04053711561,"Waning"
"86","run2",13,5956.37274296369,"Waning"
"87","run3",13,5941.05839079413,"Waning"
"88","run4",13,5942.52663029013,"Waning"
"89","run5",13,4931.88682411723,"Waning"
"90","run6",13,5013.40399352075,"Waning"
"91","run7",13,4901.1021429057,"Waning"
"92","run1",14,4600.43966603594,"Waning"
"93","run2",14,4592.66739875823,"Waning"
"94","run3",14,4558.02318955569,"Waning"
"95","run4",14,4561.52755185051,"Waning"
"96","run5",14,3446.7132522218,"Waning"
"97","run6",14,3605.24626708657,"Waning"
"98","run7",14,3386.26304966652,"Waning"
"99","run1",15,5415.77686330498,"Waning"
"100","run2",15,5411.80202084528,"Waning"
"101","run3",15,5397.21692643778,"Waning"
"102","run4",15,5398.19260259207,"Waning"
"103","run5",15,4186.43626760444,"Waning"
